CrashID,State,Day,Month,Year,Hour,Minute,Crash_Type,Bus_Involvement,Heavy_Rigid_Truck_Involvement,Articulated_Truck_Involvement,Speed_Limit,Road_User,Gender,Age
2201603030055,VIC,3,3,2016,16,15,Multiple,No,Yes,No,100,Driver,Female,63
2201603030055,VIC,3,3,2016,16,15,Multiple,No,Yes,No,100,Driver,Male,62
2201603030056,VIC,3,3,2016,17,50,Multiple,No,No,No,100,Driver,Male,57
3201603040042,QLD,4,3,2016,5,0,Multiple,No,No,No,100,Motorcycle rider,Male,42
5201603040029,WA,4,3,2016,8,0,Multiple,No,Yes,No,50,Driver,Male,25
5201603040029,WA,4,3,2016,8,0,Multiple,No,Yes,No,50,Motorcycle pillion passenger,Male,25
1201603040056,NSW,4,3,2016,17,0,Single,No,No,No,60,Driver,Male,53
2201603040057,VIC,4,3,2016,19,50,Multiple,No,No,No,70,Passenger,Male,83
2201603050058,VIC,5,3,2016,7,10,Single,No,Yes,No,110,Driver,Male,24
1201603050057,NSW,5,3,2016,16,45,Multiple,No,No,No,50,Motorcycle rider,Male,30
1201603050059,NSW,5,3,2016,22,45,Pedestrian,No,No,No,50,Pedestrian,Male,60
4201603050011,SA,5,3,2016,22,50,Single,No,No,Yes,110,Driver,Male,47
4201603050011,SA,5,3,2016,22,50,Single,No,No,Yes,110,Passenger,Female,43
1201603050058,NSW,5,3,2016,23,50,Single,No,No,No,80,Driver,Male,43
5201603050030,WA,5,3,2016,23,50,Single,No,No,No,60,Passenger,Male,25
5201603050030,WA,5,3,2016,23,50,Single,No,No,No,60,Passenger,Male,26
5201603050030,WA,5,3,2016,23,50,Single,No,No,No,60,Driver,Male,26
2201603060059,VIC,6,3,2016,7,30,Single,No,No,No,80,Driver,Female,50
5201603060032,WA,6,3,2016,7,15,Single,No,No,No,110,Driver,Male,23
5201603060031,WA,6,3,2016,11,30,Single,No,No,No,110,Passenger,Female,20
3201603060043,QLD,6,3,2016,15,0,Multiple,No,No,No,100,Driver,Female,53
6201603060007,TAS,6,3,2016,17,19,Single,No,No,No,110,Motorcycle rider,Female,57
5201603060033,WA,6,3,2016,21,0,Multiple,No,No,No,90,Passenger,Male,30
5201603060033,WA,6,3,2016,21,0,Multiple,No,No,No,90,Driver,Male,24
5201603060033,WA,6,3,2016,21,0,Multiple,No,No,No,90,Driver,Female,47
5201603070034,WA,7,3,2016,8,0,Single,No,No,No,60,Driver,Male,30
1201603070060,NSW,7,3,2016,13,0,Multiple,No,Yes,No,80,Driver,Male,46
2201603070060,VIC,7,3,2016,18,3,Single,No,No,No,100,Driver,Female,69
1201603080061,NSW,8,3,2016,9,28,Single,No,No,No,50,Driver,Female,84
5201603080035,WA,8,3,2016,13,26,Multiple,No,No,Yes,110,Driver,Male,64
2201603080061,VIC,8,3,2016,14,30,Single,No,No,No,110,Driver,Male,77
1201603080062,NSW,8,3,2016,16,38,Multiple,No,Yes,No,90,Driver,Male,55
2201603080062,VIC,8,3,2016,17,20,Single,No,No,No,100,Driver,Male,20
2201603080063,VIC,8,3,2016,20,45,Multiple,No,No,No,80,Motorcycle rider,Male,36
3201603080044,QLD,8,3,2016,20,0,Pedestrian,No,No,No,100,Pedestrian,Male,23
1201603090064,NSW,9,3,2016,2,10,Multiple,No,Yes,No,50,Driver,Male,34
1201603090063,NSW,9,3,2016,20,20,Multiple,No,No,No,60,Driver,Male,58
2201603100064,VIC,10,3,2016,6,0,Multiple,No,Yes,No,100,Passenger,Female,38
2201603100064,VIC,10,3,2016,6,0,Multiple,No,Yes,No,100,Driver,Male,43
2201603100065,VIC,10,3,2016,16,36,Pedestrian,No,No,Yes,50,Pedestrian,Male,81
